"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"fuente-osmenia.nlogox"
"experiment-2"
"05/29/2026 00:39:00:328 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-37","37","-37","37"
"[run number]","bin-placement","laziness-factor","litter-sensitivity-factor","group-litter-factor","arrival-rate","initial-litter","[step]","total-litter-events","bin-utilization-rate","total-agents-spawned","ticks"
"22","3","0","0","0","0","0","7500","0","0","0","7500"
"29","3","0","0","0","0","0","1500","0","0","0","1500"
"34","3","0","0","0","2.5","0","0","0","0","0","0"
"32","3","0","0","0","2.5","0","500","0","0","27","500"
"27","3","0","0","0","0","0","2500","0","0","0","2500"
"25","3","0","0","0","0","0","3500","0","0","0","3500"
"26","3","0","0","0","0","0","3500","0","0","0","3500"
"24","3","0","0","0","0","0","5000","0","0","0","5000"
"30","3","0","0","0","0","0","1500","0","0","0","1500"
"28","3","0","0","0","0","0","2500","0","0","0","2500"
"29","3","0","0","0","0","0","2000","0","0","0","2000"
"23","3","0","0","0","0","0","7500","0","0","0","7500"
"27","3","0","0","0","0","0","3000","0","0","0","3000"
"35","3","0","0","0","2.5","0","0","0","0","0","0"
"33","3","0","0","0","2.5","0","500","0","0.003125","19","500"
"25","3","0","0","0","0","0","4000","0","0","0","4000"
"26","3","0","0","0","0","0","4000","0","0","0","4000"
"32","3","0","0","0","2.5","0","1000","1","0.0015625","64","1000"
"31","3","0","0","0","2.5","0","1000","2","0.0046875","72","1000"
"30","3","0","0","0","0","0","2000","0","0","0","2000"
"24","3","0","0","0","0","0","5500","0","0","0","5500"
"34","3","0","0","0","2.5","0","500","1","0.00625","32","500"
"29","3","0","0","0","0","0","2500","0","0","0","2500"
"28","3","0","0","0","0","0","3000","0","0","0","3000"
"27","3","0","0","0","0","0","3500","0","0","0","3500"
"25","3","0","0","0","0","0","4500","0","0","0","4500"
"26","3","0","0","0","0","0","4500","0","0","0","4500"
"30","3","0","0","0","0","0","2500","0","0","0","2500"
"29","3","0","0","0","0","0","3000","0","0","0","3000"
"28","3","0","0","0","0","0","3500","0","0","0","3500"
"24","3","0","0","0","0","0","6000","0","0","0","6000"
"33","3","0","0","0","2.5","0","1000","2","0.0046875","42","1000"
"32","3","0","0","0","2.5","0","1500","1","0.0078125","103","1500"
"35","3","0","0","0","2.5","0","500","0","0.003125","41","500"
"25","3","0","0","0","0","0","5000","0","0","0","5000"
"27","3","0","0","0","0","0","4000","0","0","0","4000"
"26","3","0","0","0","0","0","5000","0","0","0","5000"
"34","3","0","0","0","2.5","0","1000","2","0.0078125","62","1000"
"31","3","0","0","0","2.5","0","1500","3","0.0109375","105","1500"
"30","3","0","0","0","0","0","3000","0","0","0","3000"
"29","3","0","0","0","0","0","3500","0","0","0","3500"
"28","3","0","0","0","0","0","4000","0","0","0","4000"
"24","3","0","0","0","0","0","6500","0","0","0","6500"
"27","3","0","0","0","0","0","4500","0","0","0","4500"
"25","3","0","0","0","0","0","5500","0","0","0","5500"
"26","3","0","0","0","0","0","5500","0","0","0","5500"
"30","3","0","0","0","0","0","3500","0","0","0","3500"
"32","3","0","0","0","2.5","0","2000","2","0.0109375","131","2000"
